area_code,time_zone,state,region,utc_offset_std,utc_offset_ds
503,PST,Oregon,"Portland, Salem, Beaverton, Gresham, Hillsboro",-8,-7
504,CST,Louisiana,"New Orleans, Metairie, Kenner, Chalmette",-6,-5
505,MST,New Mexico,"New Mexico: Albuquerque, Bernalillo, Farmington, Gallup, Grants, Las Vegas, Los Alamos, Rio Rancho, Santa Fe",-7,-6
507,CST,Minnesota,"Rochester, Mankato, Winona, Faribault, Luverne",-6,-5
508,EST,Massachusetts,"Worcester, Framingham, Brockton, Plymouth, New Bedford, Marlboro, Natick, Taunton, Auburn, Westboro, Easton",-5,-4
509,PST,Washington,"Spokane, Yakima, Walla Walla, Pullman, Kenwick",-8,-7
510,PST,California,"Oakland, Fremont, Newark, Hayward, Richmond",-8,-7
512,CST,Texas,"Austin, San Marcos, Round Rock, Dripping Springs",-6,-5
513,EST,Ohio,"Cincinnati, Hamilton, Clermont, Middleton, Mason",-5,-4
515,CST,Iowa,"Des Moines, Ames, Jefferson",-6,-5
516,EST,New York,"Nassau County: Hempstead, Oceanside, Freeport, Long Beach, Garden City, Glen Cove, Mineola",-5,-4
517,EST,Michigan,"Lansing, Bay City, Jackson, Howell, Adrian",-5,-4
518,EST,New York,"Albany, Schenectady, Troy, Glens Falls, Saratoga Springs, Lake Placid",-5,-4
520,MST,Arizona,"Tucson, Sierra Vista, Nogales, Douglass, Bisbee",-7,-7
522,,,Used for Personal Communications Services,,
530,PST,California,"Chico, Redding, Marysville, Auburn, Davis, Placerville",-8,-7
531*,CST,Nebraska,Overlay of 402 Area Code. *(Area Code crosses into MST time zone),-6,-5
533,,,Used for Personal Communications Services,,
534,CST,Wisconsin,Overlay of 715 area code.,-6,-5
539,CST,Oklahoma,Overlay of 918 area code.,-6,-5
540,EST,Virginia,"Roanoke, Harrisonburg, Fredericksburg, Blacksburg, Winchester, Staunton, Culpeper",-5,-4
